doc_id,topic,title,source_type,source_url,pdf_url,year,published_date,authors,provider,provider_id,doi,citation_count,open_access_status,source_name,priority,status,collection_action,local_path,retrieved_at,notes
oarag_0001,rag,Retrieval-Augmented Generation for Large Language Models: A Survey,paper,http://arxiv.org/abs/2312.10997,https://arxiv.org/pdf/2312.10997,2023,2023-12-18,"Yunfan Gao; Yun Xiong; Xinyu Gao; Kangxiang Jia; Jinliu Pan; Yuxi Bi; Yi Dai; Jiawei Sun; Wang, Meng; Wang, Haofen",openalex,W4389984066,https://doi.org/10.48550/arxiv.2312.10997,645,green,arXiv (Cornell University),P0,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0002,rag,Benchmarking Large Language Models in Retrieval-Augmented Generation,paper,https://doi.org/10.1609/aaai.v38i16.29728,https://ojs.aaai.org/index.php/AAAI/article/download/29728/31250,2024,2024-03-24,Jiawei Chen; Hongyu Lin; Xianpei Han; Le Sun,openalex,W4393147129,https://doi.org/10.1609/aaai.v38i16.29728,315,diamond,Proceedings of the AAAI Conference on Artificial Intelligence,P1,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0003,rag,Active Retrieval Augmented Generation,paper,https://doi.org/10.18653/v1/2023.emnlp-main.495,https://aclanthology.org/2023.emnlp-main.495.pdf,2023,2023-01-01,Zhengbao Jiang; Frank F. Xu; Luyu Gao; Zhiqing Sun; Qian Liu; Jane Dwivedi-Yu; Yiming Yang; Jamie Callan; Graham Neubig,openalex,W4389519118,https://doi.org/10.18653/v1/2023.emnlp-main.495,320,gold,,P1,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0004,rag,Benchmarking Retrieval-Augmented Generation for Medicine,paper,https://doi.org/10.18653/v1/2024.findings-acl.372,https://aclanthology.org/2024.findings-acl.372.pdf,2024,2024-01-01,Guangzhi Xiong; Qiao Jin; Zhiyong Lu; Aidong Zhang,openalex,W4402670290,https://doi.org/10.18653/v1/2024.findings-acl.372,202,gold,,P1,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0005,rag,RAGAs: Automated Evaluation of Retrieval Augmented Generation,paper,https://doi.org/10.18653/v1/2024.eacl-demo.16,https://aclanthology.org/2024.eacl-demo.16.pdf,2024,2024-01-01,Shahul Es; Jithin James; Luis Espinosa-Anke; Steven Schockaert,openalex,W4411630045,https://doi.org/10.18653/v1/2024.eacl-demo.16,256,gold,,P1,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0006,rag,Improving the Domain Adaptation of Retrieval Augmented Generation (RAG) Models for Open Domain Question Answering,paper,https://doi.org/10.1162/tacl_a_00530,https://direct.mit.edu/tacl/article-pdf/doi/10.1162/tacl_a_00530/2067834/tacl_a_00530.pdf,2023,2023-01-01,Shamane Siriwardhana; Rivindu Weerasekera; Elliott Wen; Tharindu Kaluarachchi; Rajib Rana; Suranga Nanayakkara,openalex,W4317898419,https://doi.org/10.1162/tacl_a_00530,275,diamond,Transactions of the Association for Computational Linguistics,P1,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0007,rag,Evaluating Retrieval Quality in Retrieval-Augmented Generation,paper,https://doi.org/10.1145/3626772.3657957,https://doi.org/10.1145/3626772.3657957,2024,2024-07-10,Alireza Salemi; Hamed Zamani,openalex,W4400526126,https://doi.org/10.1145/3626772.3657957,120,gold,,P1,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0008,rag,Retrieval-Augmented Generation with Knowledge Graphs for Customer Service Question Answering,paper,https://doi.org/10.1145/3626772.3661370,https://arxiv.org/pdf/2404.17723,2024,2024-07-10,Zhentao Xu; Missy Meine C. Dela Cruz; Matthew Guevara; Tie Wang; M. N. DESHPANDE; Xiaofeng Wang; Zheng Li,openalex,W4396823873,https://doi.org/10.1145/3626772.3661370,125,green,,P1,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0009,rag,Optimization of hepatological clinical guidelines interpretation by large language models: a retrieval augmented generation-based framework,paper,https://doi.org/10.1038/s41746-024-01091-y,https://www.nature.com/articles/s41746-024-01091-y.pdf,2024,2024-04-23,Simone Kresevic; Mauro Giuffrè; Miloš Ajčević; Agostino Accardo; Lory Saveria Crocè; Dennis Shung,openalex,W4395050972,https://doi.org/10.1038/s41746-024-01091-y,177,gold,npj Digital Medicine,P1,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
oarag_0010,rag,Retrieval augmented generation for large language models in healthcare: A systematic review,paper,https://doi.org/10.1371/journal.pdig.0000877,https://doi.org/10.1371/journal.pdig.0000877,2025,2025-06-11,Lameck Mbangula Amugongo; Pietro Mascheroni; Steven E. Brooks; Stefan Doering; Jan Seidel,openalex,W4411203672,https://doi.org/10.1371/journal.pdig.0000877,123,gold,PLOS Digital Health,P1,candidate,download_pdf_later,,2026-06-05T13:17:39+00:00,OpenAlex OA PDF candidate; needs manual review before metadata.csv approval
