sentence_id,doc_id,chunk_id,topic,title,source_url,year,sentence,is_event,event_type,annotator,label_method,notes,suggested_is_event,suggested_event_type,rule_confidence,rule_reason,needs_review
agent_001_s0001,agent_001,agent_001_c0001,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"# LLM Powered Autonomous Agents

LLM Powered Autonomous Agents
Date: June 23, 2023 | Estimated Reading Time: 31 min | Author: Lilian Weng
Building agents with LLM (large language model) as its core controller is a cool concept.",,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0002,agent_001,agent_001_c0001,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"Several proof-of-concepts demos, such as
AutoGPT
,
GPT-Engineer
and
BabyAGI
, serve as inspiring examples.",,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0004,agent_001,agent_001_c0001,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"Agent System Overview
#
In a LLM-powered autonomous agent system, LLM functions as the agent's brain, complemented by several key components:
Planning
Subgoal and decomposition: The agent breaks down large tasks into smaller, manageable subgoals, enabling efficient handling of complex tasks.",,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0011,agent_001,agent_001_c0002,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,Overview of a LLM-powered autonomous agent system.,,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0014,agent_001,agent_001_c0002,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"Task Decomposition
#
Chain of t",,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0015,agent_001,agent_001_c0003,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,of a LLM-powered autonomous agent system.,,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0027,agent_001,agent_001_c0004,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,The search process can be BFS (breadth-first search) or DFS (depth-first search) with each state evaluated by a classifier (via a prompt) or majority vote.,,,,,,0,none,low,Vague keywords without structural confirmation.,1
agent_001_s0029,agent_001,agent_001_c0004,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"Another quite distinct approach,
LLM+P
(
Liu et al.",,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0039,agent_001,agent_001_c0005,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"2023
) integrates reasoning and acting within LLM by extending the action space to be a combination of task-specific discrete actions and the language space.",,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0049,agent_001,agent_001_c0006,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"Reflexion
(
Shinn & Labash 2023
) is a framework to equip agents with dynamic memory and self-reflection capabilities to improve reasoning skills.",,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0052,agent_001,agent_001_c0007,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"After each action $a_t$, the agent computes a heuristic $h_t$ and optionally may
decide to reset
the environment to start a new trial depending on the self-reflection results.",,,,,,0,none,high,Structural non-event: math/notation,0
agent_001_s0057,agent_001,agent_001_c0007,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"Self-reflection is created by showing two-shot examples to LLM and each example is a pair of (failed trajectory, ideal reflection for guiding future changes i",,,,,,1,method_proposed,high,third-party propose/introduce verb,0
agent_001_s0061,agent_001,agent_001_c0008,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,Experiments on AlfWorld Env and HotpotQA.,,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0078,agent_001,agent_001_c0010,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"2023
)
The idea of CoH is to present a history of sequentially improved outputs in context and train the model to take on the trend to produce better outputs.",,,,,,1,method_proposed,high,third-party propose/introduce verb,0
agent_001_s0080,agent_001,agent_001_c0010,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"2023
) applies the same idea to cross-episode trajectories in reinforcement learning tasks, where an
algorithm
is encapsulated in a long history-conditioned policy.",,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0111,agent_001,agent_001_c0014,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"f memory, providing the ability to retain impressions of sensory information (visual, auditory, etc) after the original stimuli have ended.",,,,,,0,none,high,"No matching rules, default to none.",0
agent_001_s0126,agent_001,agent_001_c0016,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"at query time, accessible via fast retrieval.",,,,,,0,none,high,"No matching rules, default to none.",0
