sentence_id,doc_id,chunk_id,topic,title,source_url,year,sentence,is_event,event_type,annotator,label_method,notes
agent_002_s0493,agent_002,agent_002_c0003,ai_agent,ReAct: Synergizing Reasoning and Acting in Language Models,https://arxiv.org/pdf/2210.03629,2022,"1
INTRODUCTION
A unique feature of human intelligence is the ability to seamlessly combine task-oriented actions with
verbal reasoning (or inner speech, Alderson-Day & Fernyhough, 2015), which has been theorized to
play an important role in human cognition for enabling self-regulation or strategization (Vygotsky,
1987; Luria, 1965; Fernyhough, 2010) and maintaining a working memory (Baddeley, 1992).",,,,,
agent_002_s1179,agent_002,agent_002_c0083,ai_agent,ReAct: Synergizing Reasoning and Acting in Language Models,https://arxiv.org/pdf/2210.03629,2022,"Thought 3:
About Time is a 2013 film.",,,,,
agent_003_s5338,agent_003,agent_003_c0025,ai_agent,Toolformer: Language Models Can Teach Themselves to Use Tools,https://arxiv.org/pdf/2302.04761,2023,"This is in contrast
to prior work on tool use (e.g., Gao et al., 2022;
Parisi et al., 2022), where models are provided
with dataset-specific examples of how a tool can be
used to solve a concrete task.",,,,,
agent_003_s5809,agent_003,agent_003_c0082,ai_agent,Toolformer: Language Models Can Teach Themselves to Use Tools,https://arxiv.org/pdf/2302.04761,2023,"This is
three times less than the 2169 goals
last year.",,,,,
agent_004_s10486,agent_004,agent_004_c0407,ai_agent,The Rise and Potential of Large Language Model Based Agents: A Survey,https://arxiv.org/pdf/2309.07864,2023,"Rossi, eds., Proceedings of the
2018 AAAI/ACM Conference on AI, Ethics, and Society, AIES 2018, New Orleans, LA, USA,
February 02-03, 2018, pages 123–129.",,,,,
agent_004_s10731,agent_004,agent_004_c0422,ai_agent,The Rise and Potential of Large Language Model Based Agents: A Survey,https://arxiv.org/pdf/2309.07864,2023,"In
2018 IEEE Security and Privacy Workshops,",,,,,
agent_004_s7883,agent_004,agent_004_c0247,ai_agent,The Rise and Potential of Large Language Model Based Agents: A Survey,https://arxiv.org/pdf/2309.07864,2023,"In fact, scaling up the number of agents can introduce
greater specialization to accomplish more complex and larger-scale tasks, significantly improving
task efficiency, such as in software development tasks or government policy formulation [109].",,,,,
agent_004_s8758,agent_004,agent_004_c0307,ai_agent,The Rise and Potential of Large Language Model Based Agents: A Survey,https://arxiv.org/pdf/2309.07864,2023,"CoRR, abs/2305.14322, 2023.",,,,,
agent_007_s22028,agent_007,agent_007_c0011,ai_agent,LangGraph Agentic Concepts,https://langchain-ai.github.io/langgraph/concepts/agentic_concepts/,2024,"Graph APIFunctional API
``` python
from typing_extensions import Literal
from langchain.messages import HumanMessage, SystemMessage

# Schema for structured output to use as routing logic
class Route(BaseModel):
 step: Literal[""poem"", ""story"", ""joke""] = Field(
 None, description=""The next step in the routing process""
 )

# Augment the LLM with schema for structured output
router = llm.with_structured_output(Route)

# State
class State(TypedDict):
 input: str
 decision: str
 output: str

# Nodes
def llm_call_1(state: State):
 """"""Write a story""""""

 result = llm.invoke(state[""input""])
 return {""output"": result.content}

def llm_call_2(state: State):
 """"""Write a joke""""""

 result = llm.invoke(state[""input""])
 return {""output"": result.content}

def llm_call_3(state: State):
 """"""Write a poem""""""

 result = llm.invoke(state[""input""])
 return {""output"": result.content}

def llm_call_router(state: State):
 """"""Route the inpu",,,,,
agent_007_s22040,agent_007,agent_007_c0016,ai_agent,LangGraph Agentic Concepts,https://langchain-ai.github.io/langgraph/concepts/agentic_concepts/,2024,"Each worker has its own state, and all worker outputs are written to a shared state key that is accessible to the orchestrator graph.",,,,,
agent_007_s22061,agent_007,agent_007_c0024,ai_agent,LangGraph Agentic Concepts,https://langchain-ai.github.io/langgraph/concepts/agentic_concepts/,2024,d are used in situations where problems and solutions are unpredictable.,,,,,
agent_007_s22062,agent_007,agent_007_c0024,ai_agent,LangGraph Agentic Concepts,https://langchain-ai.github.io/langgraph/concepts/agentic_concepts/,2024,"Agents have more autonomy than workflows, and can make decisions about the tools they use and how to solve problems.",,,,,
agent_009_s22330,agent_009,agent_009_c0038,ai_agent,Generative Agents: Interactive Simulacra of Human Behavior,https://arxiv.org/pdf/2304.03442,2023,"Users and agents can influence the state of the objects in this
world, much like in sandbox games such as The Sims.",,,,,
agent_009_s22986,agent_009,agent_009_c0124,ai_agent,Generative Agents: Interactive Simulacra of Human Behavior,https://arxiv.org/pdf/2304.03442,2023,"Generative Agents
UIST ’23, October 29-November 1, 2023, San Francisco, CA, USA
[12] Marcel Binz and Eric Schulz.",,,,,
agent_013_s1398,agent_013,agent_013_c0002,ai_agent,OpenAI: Function Calling and Other API Updates,https://openai.com/index/function-calling-and-other-api-updates/,2023,We are working hard to ensure that new versions result in improvements across a comprehensive range of tasks.,,,,,
agent_013_s1422,agent_013,agent_013_c0006,ai_agent,OpenAI: Function Calling and Other API Updates,https://openai.com/index/function-calling-and-other-api-updates/,2023,"Since the alpha release of ChatGPT plugins, we have learned much about making tools and language models work together safely.",,,,,
agent_013_s1448,agent_013,agent_013_c0010,ai_agent,OpenAI: Function Calling and Other API Updates,https://openai.com/index/function-calling-and-other-api-updates/,2023,"Lower pricing
We continue to make our systems more efficient and are passing those savings on to developers, effective today.",,,,,
kd_001_s1477,kd_001,kd_001_c0003,knowledge_distillation,Distilling the Knowledge in a Neural Network,https://arxiv.org/abs/1503.02531,2015,"The cumbersome
model could be an ensemble of separately trained models or a single very large model trained with
a very strong regularizer such as dropout [9].",,,,,
kd_001_s1660,kd_001,kd_001_c0032,knowledge_distillation,Distilling the Knowledge in a Neural Network,https://arxiv.org/abs/1503.02531,2015,"Also, all the specialists are trained completely independently.",,,,,
kd_002_s1824,kd_002,kd_002_c0012,knowledge_distillation,"DistilBERT, a distilled version of BERT: smaller, faster, cheaper and lighter",https://arxiv.org/pdf/1910.01108,2019,"We report scores on the development sets for each task by fine-tuning DistilBERT without the use
of ensembling or multi-tasking scheme for fine-tuning (which are mostly orthogonal to the present
work).",,,,,
kd_002_s1931,kd_002,kd_002_c0021,knowledge_distillation,"DistilBERT, a distilled version of BERT: smaller, faster, cheaper and lighter",https://arxiv.org/pdf/1910.01108,2019,"Alex Wang, Ian F.",,,,,
kd_002_s1938,kd_002,kd_002_c0022,knowledge_distillation,"DistilBERT, a distilled version of BERT: smaller, faster, cheaper and lighter",https://arxiv.org/pdf/1910.01108,2019,"Maas, Raymond E.",,,,,
kd_003_s10973,kd_003,kd_003_c0005,knowledge_distillation,TinyBERT: Distilling BERT for Natural Language Understanding,https://arxiv.org/pdf/1909.10351,2019,"The most commonly used
techniques include quantization (Gong et al., 2014),
weights pruning (Han et al., 2015), and knowl-
edge distillation (KD) (Romero et al., 2014).",,,,,
kd_004_s11649,kd_004,kd_004_c0032,knowledge_distillation,Knowledge Distillation: A Survey,https://arxiv.org/pdf/2006.05525,2020,"Ψt(.) and Ψs(.) are
the similarity functions for pairs of feature maps from
the teacher and student models.",,,,,
kd_004_s11703,kd_004,kd_004_c0040,knowledge_distillation,Knowledge Distillation: A Survey,https://arxiv.org/pdf/2006.05525,2020,"Therefore, the offline
methods mainly focus on improving different parts of
the knowledge transfer, including the design of knowl-
edge (Hinton et al., 2015; Romero et al., 2015) and the
loss functions for matching features or distributions
matching (Huang and Wang, 2017; Passalis and Tefas,

Knowledge Distillation: A Survey
9
2018; Zagoruyko and Komodakis, 2017; Mirzadeh et al.,
2020; Li et al., 2020d; Heo et al., 2019b; Asif et al.,
2020).",,,,,
kd_006_s19046,kd_006,kd_006_c0041,knowledge_distillation,"Survey on Knowledge Distillation for Large Language Models: Methods, Evaluation, and Application",https://arxiv.org/pdf/2407.01885,2024,"During the GLUE benchmark evaluation,
its teacher model BERT𝑏𝑎𝑠𝑒achieved a performance exceeding 96.8%, while offering inference
speeds that were 7.5 to 9.4 times faster.",,,,,
kd_006_s19111,kd_006,kd_006_c0051,knowledge_distillation,"Survey on Knowledge Distillation for Large Language Models: Methods, Evaluation, and Application",https://arxiv.org/pdf/2407.01885,2024,"Survey on Knowledge Distillation for Large Language Models: Methods, Evaluation, and Application
28:11
Table 4.",,,,,
kd_006_s19457,kd_006,kd_006_c0100,knowledge_distillation,"Survey on Knowledge Distillation for Large Language Models: Methods, Evaluation, and Application",https://arxiv.org/pdf/2407.01885,2024,"PeerJ Computer Science 7 (2021), e474.",,,,,
kd_008_s20856,kd_008,kd_008_c0040,knowledge_distillation,MINILM: Deep Self-Attention Distillation for Task-Agnostic Compression of Pre-Trained Transformers,https://arxiv.org/pdf/2002.10957,2020,"5.2. MINILM for NLG Tasks
We also evaluate MINILM on natural language generation
tasks, such as question generation and abstractive sum-
marization.",,,,,
kd_008_s20977,kd_008,kd_008_c0056,knowledge_distillation,MINILM: Deep Self-Attention Distillation for Task-Agnostic Compression of Pre-Trained Transformers,https://arxiv.org/pdf/2002.10957,2020,"Besides, MOBILEBERT
proposes a bottom-to-top progressive scheme to transfer
teacher’s knowledge.",,,,,
kd_008_s21118,kd_008,kd_008_c0066,knowledge_distillation,MINILM: Deep Self-Attention Distillation for Task-Agnostic Compression of Pre-Trained Transformers,https://arxiv.org/pdf/2002.10957,2020,"2077–2086, 2018.",,,,,
