sentence_id,doc_id,chunk_id,topic,title,source_url,year,sentence,is_event,event_type,annotator,label_method,notes,suggested_is_event,suggested_event_type,rule_confidence,rule_reason,needs_review
agent_001_s0027,agent_001,agent_001_c0004,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,The search process can be BFS (breadth-first search) or DFS (depth-first search) with each state evaluated by a classifier (via a prompt) or majority vote.,,,,,,0,none,low,Vague keywords without structural confirmation.,1
agent_001_s0231,agent_001,agent_001_c0027,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"2023
)
In the API-Bank workflow, LLMs need to make a couple of decisions and at each step we can evaluate how accurate that decision is.",,,,,,0,none,low,Vague keywords without structural confirmation.,1
agent_001_s0235,agent_001,agent_001_c0027,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"This benchmark evaluates the agent's tool use capabilities at three levels:
Level-1 evaluates the ability to
call the API
.",,,,,,0,none,low,Vague keywords without structural confirmation.,1
agent_001_s0250,agent_001,agent_001_c0029,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"One interesting observation is that while the LLM-based evaluation concluded that GPT-4 and ChemCrow perform nearly equivalently, human evaluations with experts oriented towards the completion and chemical correctness of the solutions showed that ChemCrow outperforms GPT-4 by a large margin.",,,,,,0,none,low,Vague keywords without structural confirmation.,1
agent_001_s0408,agent_001,agent_001_c0046,ai_agent,LLM Powered Autonomous Agents,https://lilianweng.github.io/posts/2023-06-23-agent/,2023,"implement all code, if you are unsure, write a plausible implementation.\nInclude module dependency or package manager dependency definition file.\nBefore you finish, double check that all parts of the architecture is present in the files.\n\nUseful to know:\nYou almost always put different classes in different files.\nFor Python, you always create an appropriate requirements.txt file.\nFor NodeJS, you always create an appropriate package.json file.\nYou always add a comment briefly describing the purpose of the function definition.\nYou try to add comments explaining very complex bits of logic.\nYou always follow the best practices for the requested languages in terms of describing the code written as a defined\npackage/project.\n\n\nPython toolbelt preferences:\n- pytest\n- dataclasses\n""
},
# ...",,,,,,1,method_proposed,high,third-party propose/introduce verb,1
agent_002_s0490,agent_002,agent_002_c0002,ai_agent,ReAct: Synergizing Reasoning and Acting in Language Models,https://arxiv.org/pdf/2210.03629,2022,"Furthermore, on two interactive decision making benchmarks (ALFWorld and
WebShop), ReAct outperforms imitation and reinforcement learning",,,,,,0,none,low,Vague keywords without structural confirmation.,1
agent_002_s0557,agent_002,agent_002_c0015,ai_agent,ReAct: Synergizing Reasoning and Acting in Language Models,https://arxiv.org/pdf/2210.03629,2022,"While two ReAct + CoT-SC methods are advantageous at one task each, they both
significantly and consistently outperform CoT-SC across different number of samples, reaching
CoT-SC performance with 21 samples using merely 3-5 samples.",,,,,,0,none,low,Vague keywords without structural confirmation.,1
agent_003_s5202,agent_003,agent_003_c0008,ai_agent,Toolformer: Language Models Can Teach Themselves to Use Tools,https://arxiv.org/pdf/2302.04761,2023,"We conduct experiments on a variety of differ-
ent downstream tasks, demonstrating that after
learning to use tools, Toolformer, which is based
on a pretrained GPT-J model (Wang and Komat-
suzaki, 2021) with 6.7B parameters, achieves much
stronger zero-shot results, clearly outperforming a
much larger GPT-3 model (Brown et al., 2020) and
several other baselines on various tasks.",,,,,,0,none,low,Vague keywords without structural confirmation.,1
agent_003_s5336,agent_003,agent_003_c0025,ai_agent,Toolformer: Language Models Can Teach Themselves to Use Tools,https://arxiv.org/pdf/2302.04761,2023,"4.2
Downstream Tasks
We evaluate all models on a variety of downstream
tasks.",,,,,,0,none,low,Vague keywords without structural confirmation.,1
agent_003_s5374,agent_003,agent_003_c0030,ai_agent,Toolformer: Language Models Can Teach Themselves to Use Tools,https://arxiv.org/pdf/2302.04761,2023,"Nonetheless, allowing
the model to make API calls more than doubles per-
formance for all tasks, and also clearly outperforms
the much larger OPT and GPT-3 models.",,,,,,0,none,low,Vague keywords without structural confirmation.,1
