doc_id,title,topic,source_type,source_url,published_date,year,authors,local_path,status,notes,has_clear_timeline_signal,priority,collection_action
rag_002,"Retrieval-Augmented Generation for Large Language Models: A Survey",rag,survey,https://arxiv.org/abs/2312.10997,2023-12-18,2023,Yunfan Gao; Yun Xiong; Xinyu Gao; Kangxiang Jia; Jinliu Pan; Yuxi Bi; Yi Dai; Jiawei Sun; Qianyu Guo; Meng Wang; Haofen Wang,rag/rag_002.pdf,candidate,Drive-only PDF until Sprint 2 parser; Key survey defining RAG paradigms,yes,P0,convert_pdf_later
rag_003,"REALM: Retrieval-Augmented Language Model Pre-Training",rag,paper,https://arxiv.org/abs/2002.08909,2020-02-10,2020,Kelvin Guu; Kenton Lee; Zora Tung; Panupong Pasupat; Ming-Wei Chang,rag/rag_003.pdf,candidate,Drive-only PDF; Proposes early retrieval-augmented pre-training,yes,P0,convert_pdf_later
rag_004,"Dense Passage Retrieval for Open-Domain Question Answering",rag,paper,https://arxiv.org/abs/2004.04906,2020-04-10,2020,Vladimir Karpukhin; Barlas Oguz; Sewon Min; Patrick Lewis; Ledell Wu; Sergey Edunov; Danqi Chen; Wen-tau Yih,rag/rag_004.pdf,candidate,Drive-only PDF; Proposes DPR neural retriever used in RAG,yes,P0,convert_pdf_later
rag_005,"Improving language models by retrieving from trillions of tokens",rag,paper,https://arxiv.org/abs/2112.04426,2021-12-08,2021,Sebastian Borgeaud; Arthur Mensch; Jordan Hoffmann; Trevor Cai; Eliza Rutherford; Katie Millican; George van den Driessche; Jean-Baptiste Lespiau; Blaise Luan; John Aslanides; Sarah McAleese; Nathan McAleese; Albin Cassirer; Adrian van der Meer; Carl de las Casas; Aurelia Guy; Jeremy Fitzhardinge; Davide Bacciu; Oriol Vinyals; Karen Simonyan; Phil Blunsom; Jack W. Rae; Laurent Sifre,rag/rag_005.pdf,candidate,Drive-only PDF; Proposes RETRO retrieval enhanced architecture,yes,P0,convert_pdf_later
rag_006,"Few-shot Learning with Retrieval Augmented Language Models",rag,paper,https://arxiv.org/abs/2208.03299,2022-08-05,2022,Gautier Izacard; Patrick Lewis; Maria Lomeli; Lucas Hosseini; Fabio Petroni; Timo Schick; Jane Dwivedi-Yu; Armand Joulin; Sebastian Riedel; Edouard Grave,rag/rag_006.pdf,candidate,Drive-only PDF; Proposes Atlas model,yes,P0,convert_pdf_later
rag_007,"Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection",rag,paper,https://arxiv.org/abs/2310.11511,2023-10-17,2023,Akari Asai; Zeqiu Wu; Yizhong Wang; Avirup Sil; Hannaneh Hajishirzi,rag/rag_007.pdf,candidate,Drive-only PDF; Proposes active critique and routing,yes,P1,convert_pdf_later
rag_008,"Active Retrieval Augmented Generation",rag,paper,https://arxiv.org/abs/2305.06983,2023-05-11,2023,Zhengbao Jiang; Frank F. Xu; Luyu Gao; Jyoti Singh; Alimoor Reza; Yiming Yang; Graham Neubig,rag/rag_008.pdf,candidate,Drive-only PDF; Proposes active retrieval strategy FLARE,yes,P1,convert_pdf_later
rag_009,"Corrective Retrieval-Augmented Generation",rag,paper,https://arxiv.org/abs/2401.15884,2024-01-29,2024,Shi-Qi Yan; Ji-Rong Wen; Zhao-Min Fan; Yutao Zhu; Wayne Xin Zhao,rag/rag_009.pdf,candidate,Drive-only PDF; Proposes CRAG to handle retrieval errors,yes,P1,convert_pdf_later
rag_010,LangChain Retrieval documentation,rag,docs,https://python.langchain.com/docs/concepts/retrieval/,,2022,LangChain Authors,rag/rag_010.html,candidate,Web docs of LangChain framework; retrieved via html,yes,P1,save_html
rag_011,LlamaIndex RAG documentation,rag,docs,https://docs.llamaindex.ai/en/stable/getting_started/concepts/,,2022,LlamaIndex Authors,rag/rag_011.html,candidate,Web docs of LlamaIndex framework; retrieved via html,yes,P1,save_html
rag_012,Evaluate Your Own RAG: Why Best Practices Failed Us,rag,blog,https://huggingface.co/blog/charles-azam/rag,2025-11-05,2025,Charles AZAM; Antoine Hoorelbeke; Antoine Guyot; Maxence Leclercq; Jérémy Picosson,rag/rag_012.md,candidate,Hugging Face blog post on RAG evaluation case study; manual review needed,yes,P1,manual_review
rag_013,RAG vs Fine-Tuning for LLMs: A Comprehensive Guide,rag,blog,https://huggingface.co/blog/airabbitX/rag-vs-fine-tuning-for-llms-a-com,2024-08-16,2024,airabbitX,rag/rag_013.md,candidate,Hugging Face blog comparing techniques; manual review needed,yes,P1,manual_review
rag_014,Leveraging Passage Retrieval for One-Shot Question Answering,rag,paper,https://arxiv.org/abs/2007.01282,2020-07-02,2020,Gautier Izacard; Edouard Grave,rag/rag_014.pdf,candidate,Drive-only PDF; Proposes Fusion-in-Decoder (FiD) architecture,yes,P2,convert_pdf_later
rag_015,"Search-in-the-Chain: Towards Accurate, Robust and Interpretable Decisions for LLMs",rag,paper,https://arxiv.org/abs/2304.14732,2023-04-28,2023,Shibo Hao; Kejian Shi; Yuan-Fang Li; Gholamreza Haffari; Jacky Chen,rag/rag_015.pdf,candidate,Drive-only PDF; Proposes Search-in-the-Chain retrieval method,yes,P2,convert_pdf_later
rag_016,Ahead of AI - Retrieval-Augmented Generation (RAG) Overview,rag,blog,https://sebastianraschka.com/blog/2024/ahead-of-ai-rag.html,2024-04-18,2024,Sebastian Raschka,rag/rag_016.md,candidate,Sebastian Raschka blog post overview of RAG systems,yes,P2,download_text
agent_002,ReAct: Synergizing Reasoning and Acting in Language Models,ai_agent,paper,https://arxiv.org/abs/2210.03629,2022-10-06,2022,Shunyu Yao; Jeffrey Zhao; Dian Yu; Nan Du; Izhak Shafran; Karthik Narasimhan; Yuan Cao,ai_agent/agent_002.pdf,candidate,Drive-only PDF; Foundational ReAct reasoning/action paradigm,yes,P0,convert_pdf_later
agent_003,Toolformer: Language Models Can Teach Themselves to Use Tools,ai_agent,paper,https://arxiv.org/abs/2302.04761,2023-02-09,2023,Timo Schick; Jane Dwivedi-Yu; Roberto Dessi; Roberta Raileanu; Maria Lomeli; Luke Zettlemoyer; Nicola Cancedda; Thomas Scialom,ai_agent/agent_003.pdf,candidate,Drive-only PDF; Foundational paper for LLM tool integration,yes,P0,convert_pdf_later
agent_004,The Rise and Potential of Large Language Model Based Agents: A Survey,ai_agent,survey,https://arxiv.org/abs/2309.07864,2023-09-14,2023,Zhiheng Xi; Wenxiang Chen; Xin Guo; Wei He; Yiwen Ding; Boyang Zhang; Ruibin Ye; Wensen Ting; Yuancheng Wu; Rui Zheng; Changze Lv; Bin Yang; Liming Chen; Xuanjing Huang; Qiuipng Zhang,ai_agent/agent_004.pdf,candidate,Drive-only PDF; Key comprehensive early survey of LLM Agents,yes,P0,convert_pdf_later
agent_005,AutoGPT GitHub repository README,ai_agent,github,https://github.com/Significant-Gravitas/AutoGPT/blob/master/README.md,,2023,Toran Bruce Richards,ai_agent/agent_005.md,candidate,GitHub README of AutoGPT framework for autonomous agents,yes,P0,download_text
agent_006,Microsoft AutoGen documentation,ai_agent,docs,https://microsoft.github.io/autogen/docs/Getting-Started/,,2023,AutoGen Authors,ai_agent/agent_006.html,candidate,Official AutoGen docs for multi-agent framework,yes,P0,save_html
agent_007,LangGraph Agents documentation,ai_agent,docs,https://langchain-ai.github.io/langgraph/concepts/agentic_concepts/,,2024,LangGraph Authors,ai_agent/agent_007.html,candidate,Official LangGraph concepts page for cyclical agent graphs,yes,P1,save_html
agent_008,CrewAI multi agent framework introduction,ai_agent,docs,https://docs.crewai.com/concepts/introduction/,,2024,CrewAI Authors,ai_agent/agent_008.html,candidate,Official CrewAI documentation for collaborative multi-agent teams,yes,P1,save_html
agent_009,"Generative Agents: Interactive Simulacra of Human Behavior",ai_agent,paper,https://arxiv.org/abs/2304.03442,2023-04-07,2023,Joon Sung Park; Joseph C. O'Brien; Carrie J. Cai; Meredith Ringel Morris; Percy Liang; Michael S. Bernstein,ai_agent/agent_009.pdf,candidate,Drive-only PDF; Stanford generative sandbox agents in RPG town,yes,P1,convert_pdf_later
